"code_module","code_presentation","id_student","id_site","date","sum_click"
"FFF","2013B",2108821,526853,141,23
"DDD","2013B",406056,547865,32,2
"FFF","2013B",524431,527388,17,1
"DDD","2013B",1470291,547303,129,7
"FFF","2013B",405219,527164,125,1
"FFF","2013B",470786,526721,65,4
"BBB","2013B",2327072,542807,191,5
"BBB","2013B",556349,543181,222,1
"DDD","2013B",94923,547701,-16,1
"FFF","2013B",1934810,527242,75,1
"FFF","2013B",497102,526738,32,3
"FFF","2013B",37298,527114,100,3
"FFF","2013B",999174,526821,15,2
"FFF","2013B",484458,527114,47,1
"BBB","2013B",518189,543282,4,1
"DDD","2013B",2571497,547820,26,2
"DDD","2013B",1968757,547642,131,1
"BBB","2013B",552110,542864,3,5
"DDD","2013B",550762,547947,80,2
"FFF","2013B",488968,527108,81,1
"DDD","2013B",525128,547309,22,1
"BBB","2013B",547873,543051,41,1
"FFF","2013B",556302,526721,129,11
"FFF","2013B",527685,526854,65,17
"BBB","2013B",540184,542807,171,1
"DDD","2013B",2581822,547930,22,1
"DDD","2013B",527917,547937,200,1
"FFF","2013B",539963,527169,30,1
"FFF","2013B",548415,527388,13,1
"DDD","2013B",159925,547680,191,2
"BBB","2013B",2531031,542807,216,7
"FFF","2013B",383907,526741,123,12
"FFF","2013B",516435,526853,131,15
"FFF","2013B",558851,527116,149,2
"FFF","2013B",559423,527180,104,1
"FFF","2013B",286422,527113,90,1
"DDD","2013B",419273,547869,52,1
"FFF","2013B",1464952,526751,79,1
"DDD","2013B",92775,547950,-9,1
"FFF","2013B",422340,527219,-18,4
"DDD","2013B",543510,547958,81,1
"FFF","2013B",1668504,526754,218,50
"BBB","2013B",559350,542810,110,4
"FFF","2013B",478279,526833,206,1
"FFF","2013B",1936679,527147,-14,1
"FFF","2013B",560431,526739,36,3
"BBB","2013B",515105,542807,0,1
"FFF","2013B",313975,527377,86,1
"FFF","2013B",2051035,526721,49,1
"FFF","2013B",553155,526737,215,5
"BBB","2013B",298476,543050,89,3
"BBB","2013B",555670,542864,202,2
"FFF","2013B",511762,527526,163,7
"FFF","2013B",2567054,526721,183,8
"FFF","2013B",336258,527439,-12,1
"DDD","2013B",537622,547947,77,2
"BBB","2013B",2622465,543253,4,1
"BBB","2013B",548981,542864,15,6
"FFF","2013B",500652,527180,125,2
"FFF","2013B",556210,526820,46,3
"DDD","2013B",2006894,547303,154,4
"FFF","2013B",383907,527219,212,1
